course_name,course_description,course_price,course_duration,category_id
Landscaper,Severe sepsis,5.41,2,1
Painter,Ileostomy status,5.66,2,1
Laborer,Toxic effect of hydrocyanic acid and cyanides,2.78,2,1
Plasterers,"Other current conditions classifiable elsewhere of mother, delivered, with mention of postpartum complication",3.65,2,1
Terrazzo,"Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, complicated",7.24,2,1
Carpenter,"Open wound of other and multiple sites of mouth, complicated",4.87,2,1
Pipelayer,Sprain of carpal (joint) of wrist,5.87,2,1
Safety Officer,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes",2.58,2,1
Painter,Acute pyelonephritis without lesion of renal medullary necrosis,4.04,2,1
Waterproofer,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring unspecified person",1.35,2,1
Painter,Examination for medicolegal reasons,1.68,2,1
Linemen,Unspecified site of sprain and strain,0.54,2,1
Refridgeration,Open fracture of unspecified bone(s) of foot [except toes],2.51,2,1
Waterproofer,Depressive type psychosis,1.53,2,1
Laborer,Inconclusive mammogram,6.4,2,1
Refridgeration,Other specified railway accident injuring other specified person,6.56,2,1
Terrazzo,"Unspecified leukemia, without mention of having achieved remission",5.56,2,1
Stucco Mason,Accident caused by other electric current,2.73,2,1
Plumber,Open fracture of intertrochanteric section of neck of femur,5.63,2,1
Carpenter,Unspecified visual disturbance,6.12,2,1
Welder,"Tuberculosis of spleen, unspecified",2.43,2,1
Cement Mason,"Abrasion or friction burn of face, neck, and scalp except eye, infected",8.52,2,1
Terrazzo,Accessory carpal bones,3.59,2,1
Boilermaker,"Stiffness of joint, not elsewhere classified, ankle and foot",5.25,2,1
Linemen,Other signs and symptoms involving emotional state,1.9,2,1
Linemen,Disfigurements of neck and trunk,1.8,2,1
Plumber,Unspecified disorder of the pituitary gland and its hypothalamic control,6.47,2,1
Ironworker,Transient visual loss,8.12,2,1
Pipelayer,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication",5.93,2,1
Laborer,"Chronic osteomyelitis, site unspecified",6.2,2,1
Pipefitter,"Unspecified abortion, with unspecified complication, complete",6.6,2,1
Safety Officer,"Injury to other sympathetic nerve, excluding shoulder and pelvic girdles",1.58,2,1
Plasterers,Anomalous atrioventricular excitation,7.57,2,1
Pipelayer,Seborrhea capitis,6.37,2,1
Refridgeration,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",8.24,2,1
Sheet Metal Worker,"Cleft palate, bilateral, incomplete",0.01,2,1
Landscaper,"Acute leukemia of unspecified cell type, without mention of having achieved remission",5.04,2,1
Tile Setter,"Hyperemesis gravidarum with metabolic disturbance, unspecified as to episode of care or not applicable",9.88,2,1
Linemen,"Closed fracture of metacarpal bone(s), site unspecified",2.76,2,1
Sheet Metal Worker,Hypercementosis,6.49,2,1
Pipelayer,"Other joint derangement, not elsewhere classified, hand",9.51,2,1
Electrician,"Acute poliomyelitis, unspecified, poliovirus type II",9.12,2,1
Concrete Finisher,Strabismus in other neuromuscular disorders,9.21,2,1
Millwright,"Carcinoma in situ of skin, site unspecified",5.87,2,1
Brickmason,"Other specified crystal arthropathies, forearm",8.37,2,1
Cement Mason,Open fracture of lateral condyle of humerus,1.47,2,1
