course_name,course_description,course_price,course_duration,category_id
Terrazzo,"Unspecified leukemia, without mention of having achieved remission",$5.56,71,71
Stucco Mason,Accident caused by other electric current,$2.73,72,72
Plumber,Open fracture of intertrochanteric section of neck of femur,$5.63,73,73
Carpenter,Unspecified visual disturbance,$6.12,74,74
Welder,"Tuberculosis of spleen, unspecified",$2.43,75,75
Cement Mason,"Abrasion or friction burn of face, neck, and scalp except eye, infected",$8.52,76,76
Terrazzo,Accessory carpal bones,$3.59,77,77
Boilermaker,"Stiffness of joint, not elsewhere classified, ankle and foot",$5.25,78,78
Linemen,Other signs and symptoms involving emotional state,$1.90,79,79
Linemen,Disfigurements of neck and trunk,$1.80,80,80
Plumber,Unspecified disorder of the pituitary gland and its hypothalamic control,$6.47,81,81
Ironworker,Transient visual loss,$8.12,82,82
Pipelayer,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication",$5.93,83,83
Laborer,"Chronic osteomyelitis, site unspecified",$6.20,84,84
Pipefitter,"Unspecified abortion, with unspecified complication, complete",$6.60,85,85
Safety Officer,"Injury to other sympathetic nerve, excluding shoulder and pelvic girdles",$1.58,86,86
Plasterers,Anomalous atrioventricular excitation,$7.57,87,87
Pipelayer,Seborrhea capitis,$6.37,88,88
Refridgeration,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",$8.24,89,89
Sheet Metal Worker,"Cleft palate, bilateral, incomplete",$0.01,90,90
Landscaper,"Acute leukemia of unspecified cell type, without mention of having achieved remission",$5.04,91,91
Tile Setter,"Hyperemesis gravidarum with metabolic disturbance, unspecified as to episode of care or not applicable",$9.88,92,92
Linemen,"Closed fracture of metacarpal bone(s), site unspecified",$2.76,93,93
Sheet Metal Worker,Hypercementosis,$6.49,94,94
Pipelayer,"Other joint derangement, not elsewhere classified, hand",$9.51,95,95
Electrician,"Acute poliomyelitis, unspecified, poliovirus type II",$9.12,96,96
Concrete Finisher,Strabismus in other neuromuscular disorders,$9.21,97,97
Millwright,"Carcinoma in situ of skin, site unspecified",$5.87,98,98
Brickmason,"Other specified crystal arthropathies, forearm",$8.37,99,99
Cement Mason,Open fracture of lateral condyle of humerus,$1.47,100,100
